op_w_rlat,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
256,0.195,0.407,0.285,3.792,0.282,0.061,0.602,0.478,1.64,0.126,0.413,0.368,0,0.674,0.423,0.369,4.524,0.92,0.4,0.54,0.007,0.321,0.231,0.044,5.807,0.422,0.078,0.011,1.46,0.233,0.339,0.538,1.089,3.282,1.001,1.135,0.341,3.294,0.992,1.022
257,0.006,0.01,0.008,0.962,0.011,0.553,0.417,0.542,0,0.487,0.686,0.01,1.89,0.216,0.155,0.149,0,0.107,0.01,0.026,1.026,2.408,0.066,1.118,3.681,3.691,0.925,0.074,0.695,0.347,0.271,0.277,0.763,0,0.813,0.012,0.938,0,0.106,0.656
258,0.152,0.298,1.077,1.201,0.005,0.742,0.308,1.853,5.71,0.408,0.461,0.131,0.38,0.543,0.23,0.245,5.636,0.111,0.074,0.007,0.004,0,0.43,0.768,0.662,0,0.485,0.104,0.009,0,0.088,0.075,0.005,4.84,1.251,0.07,1.467,0,0.433,0.615
259,0.006,0.01,0.015,0.008,0,0.007,0.008,0.008,2.187,0.007,0.458,0.365,0.65,0.273,0.602,0.223,1.423,0.159,0.005,0.228,0.005,1.596,0.006,0.005,0.005,0,0.007,0.005,0.009,0,0.074,0.235,0.005,0,0.088,0.52,0.332,0,0.208,0.255
260,0.493,0.316,0.179,0.463,0,0.004,0.196,0.341,0.004,0.826,0.357,0.232,0.006,0.139,0.291,0.005,0.004,0,0.443,0.232,1.665,0.561,0.114,0.714,2.182,0,1.081,1.304,1.905,0,0.005,0.01,0.179,0,0.183,0.639,0.241,0,0.081,0.189
261,1.523,0.008,1.652,3.105,1.375,0.933,0.759,1.962,0.4,0.334,0.13,0.866,2.032,1.121,0.934,0.438,1.385,2.736,1.313,0.904,0.125,0.008,0.007,0.013,1.013,0,0.235,0.405,1.347,0,0.118,0.139,0.011,5.769,0.095,0.16,0.268,7.274,0.134,0.098
262,1.279,0.007,0.652,1.032,0.067,0.511,0.631,0.918,0.37,1.558,0.004,0.011,0.015,0.023,0.011,0.096,0.429,0,0.256,0.541,0.008,0.006,0.006,0.028,0.049,2.48,0.143,0.052,0.038,0,0.056,0.386,0.013,0,0.007,0.15,0.38,1.853,0,0.008
263,0.684,0.533,0.495,0.04,0.362,0.007,0.767,0.007,0.997,0,1.297,1.14,0.622,0.575,0.909,0.493,0.007,1.371,1.106,1.449,0.006,0.075,0.102,0.005,0.005,0.005,0.007,0.155,0.006,2.243,0.005,0.428,0.191,0,0.726,0.038,0.006,1.605,0,0.449
264,2.664,0.346,1.008,0.55,0.415,0.06,0.708,0.193,2.181,0,0.577,0.705,0.384,0.051,0.895,0.163,0.798,0.005,0.401,0.343,0.845,0.298,0.313,0.113,2.559,0.219,0.069,0.865,0.165,1.065,0.25,0.004,0.693,0,1.271,0.247,0.825,0.535,2.732,0.005
265,0,0.045,0.369,0.285,0.006,3.594,0.005,1.021,0.012,0,0.007,0.769,0.545,1.386,0.287,0.007,0.924,0.842,0.481,0.202,0.41,0.342,0.303,0.09,0.424,0.175,0.009,0.405,0.27,0.288,0.019,0.006,0.007,3.345,0,0.006,0.006,0.006,0,0.006
266,0,0.006,0.416,0.006,0.245,0,0.005,0.183,0.005,0,0.271,0.168,0.173,0.255,0.367,0.235,0.32,0.519,0.149,0.222,1.934,0.709,3.417,0.354,1.031,1.005,0.991,1.178,0.248,1.327,0,0.006,0.007,0.716,0.387,0.132,0.004,0.005,0,0.107
267,0,0.006,0.007,0.013,0.007,1.057,0.006,0.422,0.006,7.069,3.486,0.342,0.375,0.867,0.531,0.205,0.768,0.665,1.335,1.075,0.985,0.005,0,0.005,0.513,1.294,0.79,0.609,0.055,0.749,0,0.461,1.173,2.239,0.761,0.937,1.64,0.672,5.614,1.132
268,5.843,0.003,0.386,0.104,0.303,0.251,0.006,0.032,0.006,2.762,1.664,0.05,0.357,0.044,0.211,0.077,0.305,0.194,0.746,0.117,0.05,0.166,6.54,0.833,0.091,1.042,0,2.763,0.754,3.207,0.544,0.03,0.532,1.396,0.394,0.7,0.21,0.223,0,1.77
269,5.043,3.514,0.048,0.563,0.685,0.616,0.006,1.59,0.575,0.607,1.02,0.167,1.521,0.727,1.106,2.245,1.387,1.632,0,1.647,0.14,0.116,0,0.31,0.093,0.495,0,0.358,0.592,1.386,3.352,0.046,0.645,4.853,0,0.686,0.123,0.423,6.861,0
270,1.404,0,0.026,0.006,0.044,0.414,0.728,0.069,0.259,0.762,0.442,0.123,0.306,0.176,0,0.791,0.212,0.05,5.076,0.362,0.075,0.063,2.483,0.103,0.03,0.128,0,0.148,0.094,0.063,0.006,0.006,0.023,0.02,0,0.009,0.007,0.032,3.373,0
271,0.94,0,0.238,0.277,0.822,0.786,1.864,0.814,0.692,1.712,0.005,0.143,0.394,0.468,2.331,0.127,0.396,0.424,0,0.301,0.347,0.427,1.198,2.076,0.184,0.367,7.487,0.95,0.33,1.014,0.5,0.035,0.16,0.067,0.463,2.434,0.142,0.006,1.186,0
272,2.207,1.447,0.216,0.254,0.434,0.768,0.176,0.279,0.75,0.754,0.845,0.31,0.63,0.678,0,0.565,0.366,0.867,3.622,1.639,0.022,0.029,0.015,0,0.022,0.101,1.383,0,0.094,0.189,0.768,0.581,0.739,0.327,0.435,0,0.676,0.65,2.638,1.558
273,0.013,0.459,0,0.665,0.024,0.221,0.748,0.447,0.352,0.119,0.007,0.024,0.108,0.018,0,0,0.111,0.116,1.342,0,0.181,0.338,0.199,0,0.201,0.005,0.968,0,0.747,0.117,0.006,0.015,0.022,0.035,0.045,3.255,0.216,0.306,1.488,0.229
274,0.556,2.592,0,0.363,0.349,1.534,0.008,0.008,0.007,1.994,0.006,0.005,0.009,0.006,0,0,0.005,0.006,0.006,1.612,0.222,0.826,0.82,4.529,0.387,0.4,0.231,0,1.142,0.005,0.006,1.426,0.148,0.111,0.575,0,0.323,0.184,0.44,0.338
275,0.004,0.096,0,0.336,0.627,0.23,2.123,0.436,0.004,0.006,1.442,0.315,0.58,0.313,0,0,1.213,0.913,1.075,0.004,1.122,0.005,0.887,0,0.004,0.682,1.06,0,0.004,0.005,0.005,0.243,0.006,0.16,0.18,2.483,0.426,0.127,0.344,0.004
276,0.529,1.186,0,0.729,0.948,0.56,0.187,1.27,0.522,0.011,0.004,0.005,0.005,0.005,0,2.555,0.004,0.006,0.005,0.009,0.499,0.2,0.636,2.171,0.26,0.308,0.874,0,0.398,0.007,0.207,1.595,0.004,0.08,0.105,1.745,2.761,0.319,1.488,0.003
277,0.084,0.107,1.323,0.037,0.059,0.043,0.113,0,0.006,0.007,0.104,4.108,0.102,0.651,2.896,0,0.786,0.056,0.94,0.297,0.286,0.312,0.258,0.771,0.005,0.349,0.261,0,0.021,0.11,0.88,0.642,0.638,0.827,0.156,1.202,3.937,0.6,0.528,0.277
278,0.011,0.007,0.024,0.453,0.007,0.383,0.158,0,0.523,0.416,0.004,0,0.252,0.254,0.58,2.173,0.133,0.154,0.056,0.672,1.497,0.459,0.401,0.492,0.086,0.005,0.327,8.845,1.838,0.005,0.072,0.347,0.205,0.123,0.165,1.059,0,0.381,0.118,0.102
279,0.115,0.24,0.57,3.03,1.837,1.067,0.091,6.26,0.936,0.521,0.675,1.529,0.716,0.005,1.037,0,1.686,0.496,0.015,0.005,0,0.017,0.094,1.29,0.007,0.249,0.372,2.659,0,0.051,0.853,0.005,1.229,1.082,0.677,0.005,0,0.005,0.005,0.343
280,0.097,0.614,1.663,0,0.005,0.881,0.97,0,0.886,0.737,0.332,0.299,1.917,0.209,2.623,2.325,1.605,0.952,2.021,0.508,4.044,0.113,0.004,1.608,0,0.06,0.005,0.207,2.109,0.01,0.447,0.852,0,0.488,0.629,0.186,2.121,0.201,0.223,0.292
281,0.307,0.623,0.438,3.0,0.005,0.678,0.409,0,0.483,0.13,0.662,0.079,0,0.339,0.093,0.064,0,0.215,0.177,0.096,0,1.274,0.005,0.005,0,0.2,0.166,0.01,0,0.057,0.511,0.138,0,0.588,0.776,0.406,0.667,0.318,0.099,0.301
282,0.019,0.506,0.006,0,0.013,0.004,3.254,6.928,0.002,0,0,0.005,0,0.004,0.006,0.007,0,0.007,0.005,0,0,1.061,0.007,0.006,2.447,0.328,2.913,1.974,0,0.007,0.006,0.004,0,0.004,0.004,0.431,0.251,0.578,0.178,0.089
283,0.392,0.099,0.056,0,0.993,0.223,1.09,2.427,1.487,0.493,0.534,0.224,0,0.684,0.569,1.896,0,0.856,0.621,1.804,2.04,0.594,0.886,0.036,0.252,0.899,0.344,1.61,4.008,0.265,0.115,1.235,0,0.684,0.505,1.306,2.131,3.51,0.598,0.107
284,0.52,0.394,0.432,0,0.259,0.147,0.41,1.167,2.014,0.614,0.179,0.252,0,0.409,0.363,1.402,0.938,0.375,0.677,0.764,1.975,0.19,0.692,0.347,0.882,0,0.294,0.264,0.837,0.005,0.519,0.035,4.487,0.663,0.16,0.474,0.615,0,0.185,0.532
285,0.392,0.006,0.154,2.009,1.619,0.449,0.329,1.883,3.168,0.298,0.03,0.005,2.358,0.035,0.006,0.005,0,0.019,0.027,0.008,0.943,1.348,0.041,0.43,0.396,0,0.106,0.268,0.326,0.306,0.085,0.201,0.858,0,0.237,0.011,0.708,0,0.287,0.076
286,0.236,0.094,0.169,0.482,0,0.169,0.006,0.493,0.886,0.058,0.105,0.635,0.944,0.483,0.066,0.344,0,0.43,0.389,0.464,0.339,0,0.006,0.142,0.291,4.254,0.638,0.006,0.122,0.22,0.032,0.192,0.007,0,0.274,0.387,0.132,1.576,0.279,0.374
287,2.137,0.061,0.547,1.103,0,0.917,0.259,0.626,0,0.335,0.405,0.483,0.749,0,0.397,0.099,1.782,0.006,0.596,0.482,0.933,0,0.116,0.467,0.892,0.33,0.813,0.457,0.605,1.97,0.004,0.355,0.526,0,0.466,0.365,0.117,0,0.504,0.301
288,0,0.006,0.006,0.005,0,0.006,0.004,0.007,1.167,0,0.061,0.395,1.807,1.94,0.56,0.183,0.355,1.169,0.345,0.293,0,0,0,0.006,0,0.005,0.006,0.006,0.305,0,0.146,0.197,0.117,1.768,0.318,0.216,0.133,0,0.051,0.1
289,0,0,0,0,0,0,0,0,0,0,0.019,0.183,0.007,0,0.285,0.05,0.712,0,0.006,0.028,0.64,0,0.378,1.173,0.005,2.057,0.478,0.991,0.64,0,0.005,0.013,0.006,1.352,0.283,0.005,0.191,0,0.34,0.125
290,3.691,0.23,0.649,0.867,0,0.417,0.838,0.934,0.909,0,0.46,2.172,1.741,5.189,1.032,0.474,0.005,0,0.442,0.98,0.476,3.85,0.005,0.222,0.303,0.696,0.897,0.623,0.827,0,0.004,0.005,0.278,3.299,0.006,0.927,0.004,6.272,0,0.007
291,0,0.474,0.542,0.051,0,0.463,0.428,0.244,0.434,5.217,1.084,0.565,0.621,0,1.337,0.005,1.626,3.763,0.947,0.42,0.344,0.207,0.41,0.486,0.372,1.03,0.211,0.371,0.598,1.895,0.004,0.3,0.538,0.633,0.601,1.151,0.468,1.869,2.803,0.57
292,0,0.239,0.008,0.015,3.3,0,0.181,0.116,0.61,0,0.006,0.305,0.104,2.383,0.482,0.161,0.335,1.029,0.362,0.407,0.005,1.022,0.677,0.771,1.75,0.104,1.792,1.775,0.194,1.222,0.766,0.485,0.769,1.184,0.933,0.133,0.499,0.121,0,0.005
293,0,0.24,0.146,0.076,1.73,0,0.082,0.049,0.007,7.36,0.059,0.768,0.216,0,0.849,0.538,1.067,0.936,1.903,0.097,1.627,1.388,2.06,0.042,1.214,0.952,0,0.738,0.004,0.914,3.506,1.152,0.476,1.877,2.254,0.418,0.496,1.278,5.442,0.569
294,0,1.042,0.361,0.015,1.374,0,0.004,0.062,0.04,0,1.652,0.785,0.993,0,0.638,0.155,0.758,0.027,0,0.467,0.004,0.466,0,0.19,0.185,0.045,1.086,0.288,0.439,0.362,0,0.004,0.4,1.736,1.747,1.346,1.054,0.969,1.849,0.651
295,0,3.657,1.404,0.473,2.461,0,0.175,0.488,1.794,0,0.003,0.005,0.005,0,0,0.154,0.004,0.004,4.122,0.004,0.678,0.506,2.362,0.773,1.264,0.648,1.548,1.023,1.222,1.484,1.933,0.004,0.003,0.096,0,0.308,0.004,0.174,3.243,0.249
296,6.059,0,0.006,0.007,0.006,0,0.289,0.005,0.005,7.776,0.005,0.005,0.601,7.944,2.337,0.007,0.005,0.278,0,0.005,2.407,0.56,0,0.411,0.626,1.556,0.667,3.065,0.004,2.882,1.782,1.418,0.58,1.194,3.588,0.005,0.409,0.007,0,0.006
297,0.331,0,0.006,0.005,0.006,0,0.007,0.005,0.252,3.443,1.142,0.657,1.448,0,0,0.835,1.164,1.462,0,1.395,0.008,0.004,0,0.143,0.029,0.196,0.008,0.48,0.341,0.513,0.568,0.096,0.595,2.274,0.008,2.537,0.068,1.104,0.607,0.113
298,0.067,0,0.037,0.006,0.005,3.34,0.005,0.005,0.099,0.056,0.005,0.008,0.006,2.661,0,0.005,0.005,0.006,0,0.005,1.026,0.117,0,0.618,0.24,0.255,1.549,0.778,0.512,2.965,0.395,0.421,0.004,0.167,3.08,0,0.176,0.007,0.039,0.007
299,0.288,7.517,0.431,0.577,0.608,2.085,0.006,0.007,0.097,0.209,0.187,0.008,0.343,0.9,0,0.425,0.625,0.012,0,1.722,0.451,0.417,0,1.408,0.503,0.409,0.3,0.238,0.777,0.608,1.385,0.598,0.36,0.816,1.655,0,0.378,0.487,1.895,0.784
300,0.968,0,0.168,0.117,0.835,0.566,0.867,0.877,1.182,1.752,0.204,0.118,0.094,1.057,7.167,0.267,0.202,0.473,0,0.007,0.252,0.065,2.766,0,0.232,0.042,0.006,0.008,0.054,0.006,1.136,0.083,0.583,0.335,0.456,4.39,1.072,0.288,0.539,0.944
301,1.669,2.731,1.217,0.19,0.723,0.459,0.028,0.962,0.006,1.485,0.005,1.367,0.697,1.469,2.225,0.008,0.384,0.153,0,3.767,0.331,0.619,1.189,0,0.665,0.748,0.713,3.061,0.246,0.964,1.074,1.081,0.639,0.492,0.006,0,0.243,0.4,0.337,2.52
302,0.007,0.353,1.895,0.281,0.082,0.521,0.061,0.257,0.31,0.17,0.052,1.017,0.128,0.47,3.531,1.566,0.345,0.766,2.266,0,0.057,0.328,1.022,0,0.199,0.129,0.104,0.525,0.203,0.258,0.348,0.638,0.441,0.134,0.145,0.974,3.278,0.08,0.552,0.056
303,0,0,0,0,0,0,1.931,0.004,1.983,1.96,0.046,0,0.096,0.013,0.471,0,0.165,0.18,0.392,3.096,0.003,0,0.004,0,0.994,0.003,0,0,0.004,0,0.06,0.297,0.188,0.102,0.262,0.061,0,0.105,0.091,0.466
304,0.734,1.286,0,0.726,0.155,0.328,0.579,0.63,0.17,0.308,0.004,0,0,0,0.003,0,0.004,0.003,0,0,0.502,0.188,0.421,3.397,0.28,0.137,0.212,0.329,0.262,0.074,0.695,0.697,0.537,0.272,0.018,1.545,2.909,1.165,1.295,0.007
305,0.236,0.004,0,0.034,0.007,0.085,0.138,0,0.092,0.11,0.272,2.113,0.111,0.327,0.849,1.895,0.493,0.182,0.701,3.48,0,0.043,0.012,0.546,0.19,0.004,0.062,0.009,0.526,0.123,0.243,0.123,0.89,0.564,0.348,0.238,2.284,0.097,0.371,0.345
306,0.272,0.189,6.726,0.308,0.005,0.156,0.271,0,0.194,0.098,0.007,0.761,0.006,0.096,0.006,0.141,0.094,0.009,0.008,2.349,0,0.22,0.351,1.013,0,0.377,0.005,0.005,0,0.782,0.126,0.004,0,0.257,0.172,0.146,1.083,0.215,0.046,0.091
307,0.219,0.008,3.257,0.357,0.195,0.006,0.412,0,0.729,0.523,0.193,0,0.374,0.377,0.76,0.372,0.359,0.379,0.007,0.992,0,0.897,0.864,1.371,0,0.581,0.183,0.007,0.246,0.493,0.389,0.809,0,0.569,0.631,0.388,1.322,0.664,0.45,0.605
308,1.259,1.173,3.284,0,0.541,0.326,1.182,3.372,0.528,1.087,0.06,1.518,2.238,0.727,0.447,0.11,2.629,0.312,0.084,1.136,6.953,1.13,1.423,0.005,0,1.608,0.866,1.502,3.072,0.321,0.794,1.179,4.725,0.495,0.248,0.696,0.466,1.335,0.102,0.423
309,0.003,0.003,0,0,0.004,0.005,0.245,0,0.005,0.006,0.41,0.915,0,0.547,0.288,1.122,0,0.629,0.837,3.185,0,0.004,0.009,0.005,0,0.009,0.192,0.602,1.723,0.111,0.164,0.53,3.737,0.007,0.362,0.812,0.131,0,0.138,0.193
310,0.235,0.214,0.534,0,0.467,1.044,1.0,0,0.655,0.542,0.004,0.005,0,0.004,0.004,0.082,0,0.009,0.01,0.003,0,0.729,0.264,0.281,5.089,0.267,0.622,0.813,0.213,0.006,0.004,0.004,0,0.006,0.003,0.259,0.003,0,0.003,0
311,0.85,0.265,2.204,1.601,0.514,0.489,0.921,0,0.609,0.712,0.026,0.088,1.687,0.822,0.35,0.857,0,0.542,0.394,1.35,3.518,0.412,0.008,0.321,0,1.15,0.712,0.545,0.605,0.354,0.548,1.801,2.567,1.224,0.875,1.114,0.725,0,0.648,0.652
312,0.233,0.077,0.893,0.179,0,0.462,0.297,2.435,1.097,0.153,0.255,1.079,1.281,0.51,0.056,0.866,0,0.308,0.633,0.601,0,2.755,0.007,0.318,8.376,4.349,0.471,0.809,0.677,0.154,0.006,0.346,5.011,0.32,0.109,0.692,0.133,5.622,0.418,0.521
313,0.487,0.013,0.604,0.719,0,0.156,0.13,1.314,0.064,0.208,0.752,0.744,0.72,1.099,0.663,1.273,6.142,0.999,0.675,2.234,1.412,0,0.009,0.284,1.83,3.601,0.306,0.012,0.177,0.072,0.052,0.706,0.921,0.351,0.527,0.909,1.312,0,0.612,0.459
314,0.083,0.005,0.014,0.325,0,0.088,0.28,1.366,0.139,0.261,0.066,0.049,0.01,0.025,0.013,0.134,1.772,0.032,0.107,0.11,0.35,0,0.005,0.185,1.738,0,0.14,0.299,0.612,0,0.065,0.026,0.009,0.094,0.008,0.087,0.039,7.314,0.085,0.181
315,0.361,0.012,0.005,0.292,4.99,0.221,0.961,0.004,0.004,0.007,0.626,0.236,0.052,1.548,0.162,0.101,0.918,0,0.182,0.163,0.004,0,0.006,0.003,0.003,0,0.003,0.426,0.003,0,0.005,0.064,0.005,0,0.006,0.011,0.065,2.981,0.006,0.102
316,1.463,0,2.924,0.004,0,0.007,2.137,0.304,1.679,1.25,0.005,0.006,0.005,0,0.003,0.237,0.003,0.792,0.003,0.846,0.004,0,0.005,0.994,2.768,6.423,0.826,0.985,0.422,0,0.527,0.635,0.306,0,1.028,0.32,0.554,2.004,0.736,0.004
317,5.461,1.873,1.332,0.218,0,0.011,1.303,0.385,1.53,0.14,0.836,1.476,1.252,3.408,0.683,1.525,1.5,1.379,1.309,2.814,0.004,0,0.005,0.005,0.007,0,0.004,0.004,1.232,5.878,0.477,2.114,1.923,0,2.0,0.005,0.646,5.886,2.437,1.471
318,0,0.641,0.907,1.034,0,1.15,0.518,3.263,0.26,1.431,0,0.005,0.004,0,0.003,0.003,0.003,0,1.433,0,0.008,8.717,0.008,0.246,0.008,3.137,0.542,0.008,0.01,0,1.544,0.004,2.324,4.867,2.431,1.027,1.538,2.032,0,0.004
319,6.382,0.109,0.282,0.064,4.141,0.297,0.183,0.013,0.309,0,0.554,1.203,0.632,0,2.831,0.514,0.843,0.466,1.259,0.552,0.711,3.195,0.414,0.383,2.412,0.35,1.416,0.116,0.621,0,0.968,0.569,0.806,0,0.226,0.61,0.19,1.548,0,1.077
320,1.471,0.007,0.227,0.048,1.509,0.006,0.232,0.052,0.164,3.256,0.225,0.799,0.814,6.913,0.92,0.61,0.799,0.494,0.754,1.243,0.252,1.411,1.46,0.058,0.162,1.0,0.107,0.601,0.067,1.988,3.223,0.313,0.951,1.817,0.41,0.478,0.169,1.863,0,0.007
321,2.468,1.655,2.228,0.005,1.596,2.788,0.005,1.137,0.283,2.241,0.29,0.218,0.502,0,0.466,0.108,0.376,0.227,0,0.184,0.081,0.323,0,0.367,0.28,0.616,0.044,0.253,0.28,1.088,2.193,0.106,0.381,1.053,0.289,0.428,0.427,0.187,0,0.109
322,0,0.963,0.115,0.305,2.443,2.482,0.806,0.296,0.321,1.499,0.005,0.006,0.004,0,0.006,0.006,0.007,0.007,3.363,0.123,0.225,1.409,0,0.732,0.335,1.04,0.948,0.818,1.357,1.403,0,0.004,0.396,0.277,0.005,0.333,0.004,0.114,0,0.664
323,1.381,0,0.009,0.098,0.707,0,0.349,0.64,0.536,0.725,0.334,0.096,0.359,4.203,1.187,0.211,0.421,0.489,0,0.094,0.079,0.027,4.806,0.134,0.021,0.193,1.156,0.386,0.136,0.237,1.384,0.794,0.2,0.511,0.97,0.093,0.246,0.011,2.24,0.034
324,0.005,0,0.006,0.004,0.006,1.399,0.005,0.103,0.005,0.006,0.051,0.248,0.449,1.18,0,0.165,0.344,0.219,4.31,0.362,0.483,0.099,0,0.495,0.374,0.326,0.05,0.284,0.083,0.463,0.525,0.049,0.343,0.149,0,0.37,0.014,0.069,0.699,2.538
325,0.004,2.448,0.007,0.007,0.005,0.005,0,0.006,0.004,0.006,0.733,0.14,0.15,1.867,0,0.167,0.129,0.004,0,0.325,0.004,0.004,0,0.003,0.005,0,0,0,0,0.003,1.107,0.228,0.159,0.162,0.483,1.879,0.188,0.212,1.407,0.768
326,0.004,0,0.004,0.008,0.429,0.004,0,0.006,1.113,0.004,0,0.004,0.003,0.004,0,0,0,0.003,0,0.004,1.082,0.47,0,0.519,0.46,0.53,0.746,0.753,0.17,1.09,0.005,0.003,0.003,0.003,0,0,0,0.004,0.003,0
327,1.178,1.179,1.833,0.438,1.426,1.355,5.393,1.277,1.504,0.817,1.954,0.634,0.004,1.42,5.083,0.357,0.008,1.055,0,0.003,0.645,0.791,5.746,2.26,1.31,1.386,1.198,2.916,1.027,1.365,0.756,0.693,0.928,0.285,0.425,0,0.383,0.562,0.959,2.556
328,0.14,0.005,0,0.074,0.004,0.061,0.674,0.05,0.061,0.057,0.161,1.16,0.729,0.715,5.172,0.009,0.43,0.412,5.559,0,0.119,0.194,1.999,0,0.153,0.077,0.089,0,0.244,0.126,2.452,0.818,1.271,0.836,0.378,0,0.662,0.577,2.322,0
329,0.007,0.269,0,1.125,1.251,0.461,0.766,0.228,0.263,0.864,0.092,0,0.252,0.173,1.634,0.034,0.011,0.121,1.515,5.437,0.004,0.003,0.003,3.241,0.003,0.003,0.004,0,0.004,0,0.098,0.122,0.08,0.061,0.073,1.252,0.066,0.027,0.132,1.764
330,0,0,0,0,0,0,0,0,0,0.004,0.281,0,0.003,0.003,0.003,2.019,0.003,0.003,4.997,0,0.009,0.208,0.006,0,0.01,0.283,0.007,5.065,0.005,0.006,0.003,0.003,0.003,0.004,0.003,0.003,0.004,0.471,0.114,0.003
331,0.006,0.199,0,1.051,0.39,0.756,0.724,1.502,0.832,1.401,0.201,0,1.177,0.005,3.833,1.28,0.792,0.478,3.422,0,0.005,0.007,0.007,0,0.005,0.003,0.007,3.849,0.011,0.008,0.913,0.208,0.005,0.735,0.702,0.007,0.01,0.321,0.203,0.341
332,0.004,0.733,0,0.007,0.004,0.643,0.004,0.173,0.005,0.507,0.006,0,0.738,0.004,3.81,0.855,1.029,1.288,3.627,0,1.299,0.898,2.323,0,0.41,0.465,0.783,4.177,1.177,0.877,0.005,1.373,0.003,0.664,0.807,0.007,0,0.006,0.468,1.828
333,1.362,0.833,4.067,2.428,0.232,0.076,0.921,3.425,0.699,1.183,0.004,6.482,0.006,0.218,0.288,0.005,0.004,0.267,0.495,4.558,5.648,1.251,1.872,0,0,2.825,1.594,0,0.003,1.352,0.004,0.781,3.891,0.195,1.434,0.005,0.355,0.222,0.208,1.395
334,0.005,0.178,1.693,2.483,0.219,0.299,0.229,0,0.139,0.106,0.005,0,1.195,1.202,1.283,0.003,0.004,1.403,2.643,1.331,6.035,0.24,2.663,2.988,0.84,0.018,0.074,6.495,1.871,0.047,0.885,2.144,0,1.437,0.926,2.132,1.678,0.922,0.717,1.676
335,0.005,0,0,0,0,0,0,6.638,0,0.009,0.403,3.145,0.555,1.396,1.635,1.103,0.926,0.482,0.609,0.951,0,0.199,0.543,2.467,0,0.743,0.289,0,0,0.412,1.228,0.005,5.934,0.467,0.592,0.789,1.167,0.43,0.361,1.168
336,0.031,0.308,1.773,0,0.415,0.734,0.091,1.144,1.175,0.283,0.004,0.438,0.408,0.307,0.148,0.63,0,0.317,0.615,1.501,0,0.422,0.004,0.004,0,0.004,0.614,0,0,0.004,0.078,0.12,6.574,0.359,0.195,0.11,0.302,0.196,0.235,0.31
337,0.341,0.231,0.865,1.186,0.151,0.38,0.485,0.625,0,0.363,0.474,3.167,0.653,1.312,0.004,1.727,0,1.134,1.1,1.151,0.611,0.007,0.006,0.005,0,0.005,0.022,3.626,0,0.006,0.003,1.77,0,0.004,0.01,1.328,0.942,1.333,0.355,0.003
338,0.194,0.511,0.414,0.277,0.008,0.301,0.288,1.044,0,0.36,0.013,0.009,0.907,0.005,0.912,0.638,0,0.685,0.467,0.841,0.065,0.295,0.656,0.256,4.561,0.137,0.079,0.277,1.184,0.056,0.307,0.638,0,0.683,0.308,0.11,0.114,0.007,0.192,0.534
339,0.008,0.118,0.27,0.006,0.008,0.009,0.007,0.007,4.286,0.212,0.523,0.234,0.43,0.153,0.163,0.188,0,0.351,0.276,0.747,0.589,0.514,0.156,0.323,1.218,2.62,0.458,0.008,0.242,0.281,0.154,0.025,2.023,0.479,0.268,0.205,0.19,0.263,0.205,0.311
340,0.371,0.157,0.468,0.627,0.005,0.12,0.005,1.258,0,0.973,0.469,0.157,0.042,0.193,0.312,0.132,6.193,0.063,0.111,0.008,0.149,1.882,0.266,0.354,1.121,2.864,0.215,0.361,0.691,0.225,0.331,0.505,0.015,2.347,0.603,0.306,0.362,0,0.392,0.302
341,0.783,0.009,0.568,0.456,1.913,0.795,0.312,0.561,3.275,0.499,0.393,0.312,0.296,0.273,0.219,0.256,0,0.099,0.363,0.303,0.283,0,0.006,0.866,1.186,0,0.359,0.006,0.007,0.847,0.005,0.145,0.05,2.967,0.32,0.477,0.349,0,0.199,0.549
