op_w_process_latency,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
253,0.433,0.164,0.628,2.857,0.092,0.154,0.148,0.494,0.142,0.367,0.061,0.483,0.878,0.529,0.38,0.364,0.708,0.468,0.444,0.518,1.741,0.224,0.159,0.037,3.72,0.04,0.261,0.124,0,0.021,0.299,0.279,4.139,0.249,0.205,0.4,0.128,0.344,0.261,0.526
254,0.267,0.305,0.151,0,0.08,0.557,0.669,0.166,0.476,0.462,0.593,0.219,1.583,0.13,0.294,0.274,0,0.151,0.119,0.152,0.288,0,0.004,0.005,0,0.064,0.029,0.004,2.596,0.006,0.268,0.364,0.048,0.448,0.56,0.429,0.45,0.158,0.103,0.519
255,0.043,0.059,0.85,0,0.531,0.006,0.335,0.389,0.537,0.339,1.224,0.28,0,0.005,0.321,0.958,0,0.006,0.004,0.89,0.235,0.46,0.008,0.504,0,0.258,0.567,0.628,0.823,0.632,0.006,0.005,0.453,0.558,0.004,0.174,1.433,1.79,0.005,0.006
256,0.155,0.262,0.222,0.211,0.14,0.047,0.409,0.269,0.186,0.09,0.377,0.31,0,0.547,0.386,0.336,3.897,0.819,0.319,0.479,0.007,0.251,0.183,0.038,3.425,0.127,0.07,0.015,0.106,0.19,0.24,0.453,0.451,0.928,0.854,0.966,0.299,0.466,0.854,0.814
257,0.006,0.016,0.009,0.152,0.012,0.418,0.292,0.184,0,0.421,0.485,0.012,0.564,0.129,0.116,0.114,0,0.094,0.015,0.026,0.638,0.312,0.047,0.793,0.269,2.949,0.797,0.047,0.297,0.162,0.249,0.275,0.425,0,0.708,0.029,0.631,0,0.114,0.574
258,0.133,0.238,0.815,0.58,0.007,0.541,0.267,1.444,4.755,0.343,0.332,0.112,0.132,0.387,0.184,0.194,0.677,0.08,0.054,0.007,0.004,0,0.371,0.656,0.215,0,0.378,0.09,0.008,0.007,0.082,0.066,0.005,3.826,1.187,0.065,1.221,0,0.381,0.591
259,0.006,0.009,0.013,0.009,0.454,0.007,0.011,0.008,0.75,0.006,0.372,0.354,0.54,0.22,0.368,0.174,0.08,0.056,0.006,0.168,0.004,0.434,0.005,0.005,0.004,0,0.006,0.005,0.008,0,0.07,0.209,0.004,0,0.08,0.493,0.283,0,0.178,0.206
260,0.332,0.297,0.116,0.406,0,0.004,0.132,0.307,0.004,0.7,0.321,0.156,0.005,0.13,0.246,0.004,0.004,0.066,0.355,0.189,1.62,0.369,0.094,0.643,1.414,0,0.928,1.193,1.474,0,0.005,0.009,0.158,0,0.182,0.639,0.146,0,0.069,0.169
261,1.2,0.008,1.43,1.818,0.34,0.71,0.523,1.027,0.148,0.2,0.097,0.714,1.775,0.979,0.882,0.417,0.851,1.84,1.18,0.829,0.116,0.007,0.007,0.013,0.665,0,0.188,0.379,1.221,0,0.08,0.115,0.01,3.433,0.068,0.096,0.198,6.747,0.098,0.08
262,0.453,0.006,0.453,0.751,0.045,0.438,0.51,0.648,0.165,0.375,0.004,0.011,0.013,0.019,0.011,0.072,0.295,0,0.211,0.457,0.008,0.006,0.005,0.025,0.035,0.67,0.109,0.036,0.029,0,0.036,0.265,0.011,0,0.007,0.115,0.21,0.069,0.02,0.007
263,0.412,0.447,0.386,0.029,0.179,0.007,0.641,0.006,0.665,0,1.008,0.929,0.356,0.483,0.757,0.338,0.007,0.738,0.898,1.239,0.005,0.034,0.06,0.005,0.005,0.005,0.006,0.082,0.005,0.842,0.005,0.363,0.176,0,0.66,0.034,0.005,0.445,1.093,0.372
264,1.437,0.326,0.807,0.417,0.303,0.046,0.623,0.161,1.598,0,0.5,0.543,0.262,0.038,0.739,0.125,0.743,0.005,0.333,0.283,0.728,0.242,0.334,0.093,1.282,0.08,0.135,0.646,0.132,0.309,0.243,0.004,0.614,0,0.487,0.24,0.778,0.237,2.379,0.005
265,0,0.04,0.252,0.255,0.007,0.753,0.005,0.836,0.011,0,0.006,0.693,0.468,0.334,0.258,0.007,0.756,0.624,0.44,0.157,0.329,0.308,0.237,0.082,0.364,0.146,0.008,0.296,0.228,0.281,0.021,0.006,0.006,0.331,0,0.006,0.006,0.006,0,0.006
266,0,0.006,0.416,0.006,0.223,1.598,0.004,0.086,0.005,0,0.245,0.121,0.131,0.178,0.321,0.204,0.215,0.379,0.123,0.131,1.476,0.484,1.287,0.273,0.757,0.683,0.666,0.954,0.187,0.82,0.005,0.006,0.007,0.372,0.105,0.093,0.004,0.005,0,0.09
267,0,0.006,0.007,0.012,0.007,0.302,0.006,0.271,0.007,5.351,1.519,0.271,0.265,0.778,0.479,0.139,0.681,0.499,1.134,0.807,0.915,0.005,0,0.005,0.427,1.146,0.169,0.461,0.051,0.403,0,0.47,1.055,0.784,0.563,0.888,1.406,0.569,5.614,0.755
268,4.741,0.004,0.176,0.077,0.187,0.091,0.005,0.022,0.006,0.101,0.765,0.043,0.265,0.039,0.159,0.07,0.238,0.162,0.271,0.1,0.045,0.11,3.413,0.661,0.066,0.904,0,2.764,0.591,2.395,0.091,0.03,0.458,0.905,0.138,0.658,0.174,0.206,0,0.262
269,0.297,1.23,0.035,0.406,0.433,0.368,0.006,1.214,0.412,0.094,0.662,0.137,1.24,0.547,0.945,1.965,1.258,1.316,0,1.442,0.133,0.105,0,0.255,0.076,0.475,0,0.345,0.557,1.157,0.924,0.037,0.614,2.941,0.005,0.686,0.11,0.383,4.755,0
270,0.13,0,0.019,0.007,0.03,0.149,0.44,0.045,0.137,0.294,0.352,0.101,0.248,0.154,0.019,0.575,0.179,0.041,3.698,0.333,0.053,0.044,0.92,0.066,0.021,0.084,0,0.103,0.071,0.047,0.008,0.005,0.019,0.021,1.869,0.031,0.006,0.027,0.068,0
271,0.367,0,0.205,0.233,0.55,0.396,0.609,0.644,0.548,0.876,0.005,0.137,0.369,0.406,1.709,0.109,0.335,0.386,0,0.288,0.27,0.378,0.413,0.783,0.12,0.332,3.923,0.575,0.299,0.908,0.388,0.027,0.127,0.06,0.056,0.315,0.112,0.006,0.274,0
272,1.117,0.347,0.145,0.225,0.289,0.627,0.13,0.17,0.546,0.709,0.754,0.259,0.523,0.59,1.547,0.392,0.328,0.769,1.246,0.74,0.027,0.03,0.012,0,0.021,0.095,0.055,0,0.082,0.168,0.584,0.338,0.618,0.276,0.25,0,0.587,0.593,1.085,0.343
273,0.011,0.128,0.004,0.524,0.009,0.195,0.268,0.309,0.215,0.078,0.007,0.022,0.107,0.019,0,0.186,0.108,0.116,0.093,0,0.167,0.32,0.199,0,0.191,0.005,0.38,0,0.65,0.082,0.006,0.021,0.029,0.032,0.039,2.345,0.203,0.302,0.899,0.121
274,0.506,1.471,0,0.253,0.252,1.191,0.007,0.008,0.007,1.724,0.005,0.005,0.008,0.005,0,0,0.005,0.006,0.006,0.51,0.222,0.83,0.62,4.529,0.388,0.331,0.198,0,1.107,0.005,0.006,0.264,0.115,0.098,0.479,0,0.27,0.128,0.414,0.287
275,0.004,0.081,0,0.289,0.42,0.202,1.83,0.266,0.004,0.006,1.323,0.321,0.551,0.298,0,2.382,1.216,0.848,0.654,0.005,1.123,0.004,0.704,0,0.004,0.554,0.875,0,0.004,0.005,0.005,0.203,0.006,0.126,0.125,0.033,0.291,0.095,0.225,0.003
276,0.397,0.719,0,0.567,0.583,0.359,0.136,0.629,0.366,0.01,0.005,0.005,0.005,0.005,0,0.093,0.004,0.005,0.005,0.007,0.372,0.147,0.402,0.557,0.233,0.244,0.55,0,0.321,0.006,0.188,1.307,0.004,0.075,0.086,0.418,0.853,0.32,1.377,0.003
277,0.058,0.074,0.619,0.03,0.033,0.031,0.072,0,0.006,0.006,0.084,1.086,0.082,0.462,0.154,0.005,0.683,0.042,0.634,0.183,0.163,0.279,0.237,0.162,0.005,0.304,0.231,0,0.016,0.094,0.774,0.548,0.269,0.783,0.147,0.533,0.405,0.525,0.443,0.264
278,0.009,0.007,0.02,0.385,0.006,0.296,0.12,0,0.415,0.283,0.004,0,0.203,0.192,0.128,0.522,0.112,0.129,0.044,0.282,0.225,0.363,0.375,0.238,0.065,0.004,0.31,8.331,0.467,0.005,0.07,0.338,0.12,0.103,0.143,0.544,0,0.318,0.104,0.093
279,0.089,0.176,0.421,2.063,1.248,0.851,0.082,4.326,0.645,0.396,0.381,0.561,0.405,0.005,0.58,0,1.499,0.299,0.011,0.005,0,0.014,0.08,0.427,0.006,0.194,0.26,0.063,0.232,0.037,0.824,0.005,0.078,0.999,0.602,0.004,0,0.005,0.005,0.313
280,0.093,0.619,0.889,0,0.005,0.758,0.984,0,0.886,0.739,0.252,0.171,0.919,0.157,1.061,1.206,1.063,0.771,1.417,0.302,3.245,0.09,0.004,0.981,0,0.05,0.005,0.147,0.367,0.008,0.382,0.757,0.157,0.413,0.545,0.148,0.593,0.176,0.183,0.259
281,0.231,0.588,0.325,2.186,0.004,0.678,0.409,0,0.442,0.095,0.553,0.057,1.142,0.317,0.076,0.046,0,0.178,0.144,0.067,0,0.85,0.005,0.005,0,0.2,0.166,0.01,0,0.048,0.488,0.127,0,0.558,0.679,0.367,0.209,0.209,0.08,0.216
282,0.01,0.307,0.005,1.763,0.014,0.004,3.253,4.036,0.002,0,0.005,0.004,0,0.004,0.006,0.006,0.316,0.006,0.006,0.012,0,0.948,0.008,0.007,0.866,0.231,1.87,1.126,0,0.007,0.006,0.004,0,0.003,0.004,0.431,0.19,0.227,0.177,0.089
283,0.314,0.061,0.04,0,0.739,0.167,0.795,0.163,0.989,0.317,0.429,0.191,0,0.61,0.446,1.454,0.243,0.71,0.522,1.707,0.439,0.425,0.603,0.03,0.103,0.486,0.234,0.858,2.162,0.204,0.101,1.123,0,0.544,0.404,1.206,1.246,2.072,0.548,0.098
284,0.42,0.334,0.388,0,0.2,0.125,0.378,0.417,0.331,0.546,0.149,0.211,0,0.348,0.275,1.024,0.58,0.249,0.537,0.594,0.35,0.154,0.457,0.276,0.262,0.004,0.192,0.188,0.25,0.006,0.484,0.028,0.219,0.264,0.127,0.412,0.467,0,0.159,0.46
285,0.3,0.007,0.106,0.664,0.299,0.393,0.217,0.862,2.717,0.237,0.024,0.006,0.35,0.03,0.006,0.004,0.012,0.017,0.023,0.007,0.567,0.663,0.035,0.383,0.32,0,0.106,0.238,0.192,0.275,0.069,0.171,0.036,0,0.208,0.011,0.54,0,0.232,0.068
286,0.211,0.081,0.117,0.179,0,0.147,0.006,0.264,0.032,0.042,0.095,0.605,0.297,0.405,0.057,0.28,0,0.381,0.347,0.383,0.285,0,0.006,0.13,0.282,3.318,0.552,0.005,0.089,0.085,0.025,0.177,0.007,0,0.216,0.35,0.107,0.204,0.238,0.319
287,0.561,0.035,0.43,0.473,2.048,0.711,0.22,0.49,0,0.15,0.305,0.337,0.291,0.005,0.324,0.071,0.356,0.006,0.47,0.347,0.823,0,0.097,0.372,0.678,0.101,0.539,0.334,0.467,0.901,0.004,0.301,0.478,0,0.417,0.275,0.095,0,0.445,0.285
288,0,0.006,0.005,0.007,0,0.006,0.004,0.007,0.318,0,0.051,0.373,1.396,1.939,0.454,0.159,0.174,0.771,0.299,0.276,0,0,0.007,0.006,0.005,0.004,0.005,0.006,0.197,0,0.123,0.156,0.097,0.326,0.24,0.171,0.104,0,0.042,0.071
289,0,0,0,0,0,0,0,0,0,0,0.012,0.182,0.007,0,0.164,0.041,0.49,0,0.006,0.024,0.534,0,0.322,0.784,0.005,1.436,0.383,0.991,0.533,0,0.005,0.013,0.006,0.159,0.283,0.005,0.129,0,0.106,0.074
290,0.725,0.155,0.584,0.798,0,0.38,0.747,0.869,0.596,0,0.46,1.63,1.267,5.189,1.032,0.38,0.005,2.391,0.317,0.492,0.379,0.509,0.005,0.159,0.213,0.497,0.637,0.465,0.625,0,0.005,0.005,0.203,1.445,0.005,0.697,0.004,4.698,0.006,0.007
291,0,0.37,0.502,0.045,0,0.217,0.409,0.201,0.306,4.945,0.972,0.531,0.546,0,1.139,0.007,1.22,3.475,0.871,0.343,0.254,0.045,0.297,0.38,0.28,0.704,0.179,0.287,0.457,0.671,0.004,0.226,0.357,0.327,0.471,0.922,0.352,0.272,1.082,0.411
292,0,0.16,0.008,0.013,0.271,0,0.127,0.082,0.373,0,0.005,0.241,0.069,0.397,0.387,0.103,0.259,0.461,0.297,0.241,0.006,0.382,0.25,0.596,1.314,0.075,1.612,1.091,0.148,0.634,0.462,0.433,0.707,0.604,0.905,0.123,0.461,0.096,0,0.004
293,0,0.072,0.125,0.063,0.162,1.573,0.05,0.029,0.008,6.975,0.056,0.63,0.171,0,0.733,0.477,0.963,0.726,0.339,0.088,1.548,0.63,1.172,0.041,1.173,0.953,0.006,0.629,0.004,0.564,1.218,0.993,0.368,1.108,1.071,0.333,0.413,0.828,4.429,0.524
294,0,0.211,0.301,0.014,1.037,0,0.004,0.062,0.032,0,1.528,0.699,0.711,0,0.475,0.139,0.717,0.023,0,0.403,0.004,0.466,0.136,0.19,0.147,0.037,0.426,0.236,0.439,0.332,0,0.004,0.328,1.446,0.336,0.994,1.056,0.361,0.406,0.489
295,0,1.48,1.194,0.357,1.317,0,0.175,0.319,1.199,0,0.002,0.004,0.005,0,0.005,0.154,0.004,0.004,0.871,0.004,0.678,0.507,0.791,0.725,0.904,0.606,1.294,0.887,1.222,1.413,0.494,0.004,0.004,0.081,0.005,0.308,0.003,0.131,0.354,0.249
296,2.051,0,0.006,0.007,0.006,0,0.16,0.005,0.005,3.278,0.005,0.005,0.603,4.714,1.221,0.007,0.005,0.279,0,0.004,2.05,0.422,0,0.31,0.466,1.101,0.57,2.72,0.004,2.216,0.955,1.418,0.388,0.919,0.981,0.005,0.284,0.007,0.005,0.006
297,0.143,0,0.005,0.005,0.006,0,0.006,0.005,0.196,0.155,1.087,0.645,1.457,0,0,0.704,1.093,1.182,0,1.406,0.018,0.005,0,0.126,0.031,0.194,0.046,0.464,0.285,0.507,0.37,0.069,0.502,1.927,0.015,1.474,0.067,0.863,0.399,0.115
298,0.047,0,0.026,0.006,0.005,0.07,0.005,0.005,0.057,0.038,0.008,0.016,0.006,0.153,0,0.005,0.012,0.008,0,0.006,0.945,0.109,0,0.603,0.218,0.213,0.444,0.596,0.382,2.54,0.396,0.375,0.004,0.138,2.075,0.01,0.143,0.008,0.037,0.006
299,0.22,5.756,0.358,0.363,0.476,0.343,0.006,0.006,0.077,0.177,0.178,0.008,0.286,0.269,0,0.426,0.576,0.01,0,1.634,0.403,0.355,0,0.479,0.442,0.381,0.27,0.181,0.654,0.574,1.071,0.517,0.272,0.711,1.388,0,0.318,0.435,1.39,0.673
300,0.516,0,0.085,0.099,0.599,0.23,0.791,0.572,0.928,0.686,0.172,0.1,0.061,0.484,2.958,0.219,0.195,0.424,0,0.005,0.195,0.046,0.98,0,0.154,0.033,0.005,0.007,0.045,0.006,0.702,0.047,0.511,0.321,0.319,0.657,0.92,0.229,0.425,0.206
301,0.992,0.165,0.601,0.15,0.514,0.284,0.019,0.603,0.006,0.768,0.005,0.843,0.584,0.583,0.192,0.006,0.306,0.111,0,2.399,0.3,0.483,0.4,0,0.564,0.71,0.644,1.45,0.185,0.841,0.94,0.12,0.568,0.421,0.007,0,0.174,0.361,0.281,1.434
302,0.007,0.095,1.448,0.241,0.049,0.355,0.046,0.173,0.231,0.118,0.04,0.355,0.105,0.382,1.547,0.362,0.283,0.663,0.607,0,0.052,0.269,0.502,0,0.137,0.082,0.091,0.134,0.169,0.208,0.299,0.254,0.387,0.112,0.122,0.442,0.72,0.072,0.431,0.049
303,0,0,0,0,0,0,1.93,0.004,1.982,1.96,0.043,0,0.077,0.012,0.071,0,0.146,0.16,0.23,0.97,0.003,0,0.004,0,0.664,0.003,0,0.003,0.003,0,0.044,0.164,0.158,0.084,0.251,0.033,0,0.078,0.064,0.426
304,0.592,0.645,0,0.667,0.121,0.287,0.506,0.469,0.149,0.251,0.003,0,0,0,0.003,0,0.003,0.003,0,0,0.274,0.142,0.328,0.694,0.189,0.091,0.169,0.196,0.216,0.05,0.53,0.601,0.385,0.196,0.018,0.796,2.279,0.701,0.9,0.007
305,0.181,0.004,0,0.031,0.02,0.065,0.125,0,0.081,0.093,0.208,0.987,0.091,0.248,0.479,0.442,0.416,0.149,0.322,1.63,1.125,0.043,0.028,1.453,0.054,0.004,0.062,0.013,0.271,0.102,0.238,0.108,0.184,0.546,0.29,0.154,0.205,0.09,0.267,0.307
306,0.258,0.19,6.725,0.298,0.005,0.142,0.293,0,0.161,0.102,0.006,0.089,0.006,0.088,0.045,0.093,0.075,0.048,0.007,0.146,0,0.211,0.369,0.456,0,0.326,0.005,0.005,0.009,0.706,0.134,0.004,0,0.298,0.21,0.14,0.7,0.337,0.072,0.082
307,0.152,0.006,0.086,0.113,0.107,0.006,0.323,0,0.384,0.353,0.369,0,0.257,0.256,0.421,0.333,0.363,0.252,0.009,0.535,1.146,0.721,0.738,0.641,0,0.505,0.182,0.007,0.195,0.443,0.364,0.462,0,0.43,0.513,0.289,1.022,0.576,0.295,0.573
308,1.025,1.006,0.912,0,0.425,0.303,0.845,4.127,0.478,0.799,0.047,0.938,0.425,0.625,0.325,0.087,0.857,0.26,0.058,0.524,0.902,0.886,1.22,0.006,0,1.307,0.805,1.237,0.808,0.242,0.705,1.032,3.857,0.452,0.226,0.671,0.335,0.642,0.087,0.385
309,0.003,0.003,0.004,0,0.004,0.005,0.165,0,0.005,0.005,0.309,0.538,0,0.472,0.227,0.98,0,0.454,0.713,2.113,0.229,0.004,0.009,0.005,0,0.008,0.169,0.556,0.619,0.102,0.144,0.53,1.818,0.007,0.326,0.777,0.12,0,0.127,0.178
310,0.189,0.147,0.4,0,0.362,0.961,0.785,0,0.519,0.508,0.004,0.004,0,0.004,0.003,0.082,0,0.009,0.01,0.003,0,0.639,0.22,0.214,5.277,0.197,0.476,0.712,0.195,0.006,0.004,0.004,0,0.005,0.003,0.174,0.003,0,0.003,0
311,0.621,0.151,0.987,0.442,0.349,0.387,0.78,0,0.418,0.525,0.022,0.06,0.337,0.698,0.287,0.68,0,0.419,0.269,0.879,0.99,0.348,0.007,0.298,0,0.536,0.611,0.471,0.576,0.276,0.416,1.544,0.419,0.99,0.601,0.912,0.567,0,0.419,0.58
312,0.196,0.053,0.424,0.08,0.01,0.346,0.249,0.17,0.817,0.12,0.212,0.96,0.857,0.472,0.048,0.835,0,0.291,0.546,0.535,0,0.733,0.006,0.263,2.177,1.633,0.471,0.738,0.587,0.124,0.006,0.25,0.505,0.269,0.095,0.562,0.121,4.487,0.36,0.45
313,0.406,0.024,0.521,0.425,0,0.117,0.104,0.172,0.049,0.173,0.646,0.534,0.61,0.841,0.516,0.925,5.019,0.86,0.567,1.655,0.433,0,0.008,0.218,0.082,2.696,0.29,0.011,0.138,0.044,0.046,0.68,0.43,0.294,0.467,0.779,1.08,0,0.503,0.374
314,0.088,0.005,0.016,0.269,0,0.062,0.213,0.483,0.107,0.235,0.051,0.04,0.011,0.023,0.016,0.101,0.09,0.044,0.081,0.085,0.218,0,0.004,0.175,0.491,0,0.136,0.286,0.607,0,0.058,0.026,0.009,0.052,0.015,0.081,0.034,7.314,0.085,0.175
315,0.254,0.007,0.005,0.254,3.803,0.188,0.388,0.006,0.006,0.006,0.53,0.203,0.045,0.512,0.121,0.083,0.338,0.108,0.133,0.151,0.004,0,0.005,0.003,0.003,0,0.004,0.32,0.003,0,0.004,0.052,0.005,0,0.006,0.009,0.044,0.37,0.005,0.076
316,0.837,0.003,2.089,0.004,0,0.006,1.425,0.204,1.679,1.25,0.005,0.005,0.004,0,0.003,0.198,0.003,0.243,0.005,0.565,0.004,0,0.005,0.842,1.311,5.629,0.825,0.789,0.38,0,0.527,0.635,0.278,0,1.027,0.32,0.462,0.411,0.567,0.004
317,1.323,0.802,1.259,0.201,0,0.011,0.872,0.205,1.046,0.061,0.733,1.108,0.94,2.401,0.615,1.248,0.579,0.777,1.145,2.188,0.005,0,0.007,0.006,0.007,0,0.004,0.005,0.495,5.116,0.418,2.113,1.923,0,1.801,0.005,0.646,0.837,0.545,1.471
318,0,0.513,0.667,0.822,0,0.876,0.404,1.771,0.173,0.439,0,0.005,0.003,0,0.003,0.003,0.003,0.003,1.433,0,0.008,7.448,0.008,0.202,0.007,0.125,0.386,0.007,0.008,0.063,1.373,0.003,2.034,4.697,2.431,0.856,1.42,0.661,0.005,0.004
319,3.592,0.081,0.192,0.054,0.098,0.225,0.164,0.011,0.234,0,0.487,1.062,0.516,0,2.619,0.468,0.671,0.242,1.113,0.481,0.58,0.048,0.2,0.294,1.953,0.087,1.211,0.083,0.478,0,0.406,0.57,0.767,0,0.214,0.593,0.187,1.045,0.004,1.028
320,0.043,0.007,0.133,0.038,0.284,0.006,0.16,0.034,0.131,1.061,0.174,0.618,0.643,6.062,0.806,0.416,0.648,0.391,0.553,0.924,0.229,0.329,1.466,0.04,0.121,0.507,0.084,0.499,0.051,0.523,0.782,0.267,0.871,0.178,0.34,0.418,0.139,1.302,0,0.006
321,0.516,1.534,1.516,0.005,1.198,0.36,0.004,0.774,0.165,0.975,0.271,0.194,0.423,0,0.43,0.091,0.327,0.189,0.014,0.139,0.081,0.304,0,0.303,0.22,0.441,0.038,0.195,0.201,0.496,1.533,0.099,0.349,0.325,0.128,0.429,0.381,0.177,0,0.101
322,0,0.458,0.094,0.26,1.277,1.393,0.734,0.24,0.26,0.569,0.005,0.005,0.005,0,0.006,0.005,0.005,0.007,0.399,0.042,0.185,0.617,0,0.629,0.266,0.853,0.58,0.783,1.19,0.829,0,0.003,0.298,0.277,0.005,0.333,0.004,0.114,0,0.664
323,0.61,0,0.008,0.083,0.526,0,0.311,0.42,0.413,0.402,0.218,0.071,0.292,0.095,0.487,0.153,0.336,0.39,0.065,0.074,0.065,0.023,4.285,0.119,0.016,0.17,0.402,0.332,0.104,0.213,0.421,0.641,0.134,0.336,0.634,0.075,0.192,0.011,0.811,0.024
324,0.005,0,0.005,0.004,0.005,0.132,0.005,0.06,0.004,0.006,0.073,0.217,0.417,0.26,0,0.145,0.302,0.186,4.309,0.345,0.468,0.088,0,0.408,0.291,0.306,0.194,0.245,0.075,0.423,0.226,0.044,0.278,0.125,0.005,0.23,0.013,0.055,0.274,0.327
325,0.004,0.353,0.007,0.008,0.005,0.005,0.005,0.005,0.005,0.006,0.095,0.113,0.124,0.794,0,0.139,0.124,0.004,0,0.288,0.004,0.003,0,0.003,0.004,0.003,0,0,0,0.003,0.662,0.168,0.117,0.146,0.214,0.708,0.161,0.169,0.841,0.136
326,0.004,0,0.004,0.008,0.288,0.004,1.544,0.006,1.116,0.004,0,0.004,0.003,0.004,0,0,0,0.003,0,0.004,0.939,0.37,0,0.371,0.46,0.413,0.635,0.709,0.14,1.091,0.005,0.003,0.003,0.003,0.003,0,0,0.004,0.003,0
327,0.991,0.691,0.871,0.37,1.161,0.913,5.234,0.999,1.216,0.663,0.661,0.589,0.004,1.137,4.88,0.34,0.009,0.996,0,0.004,0.547,0.648,0.528,1.401,1.065,1.072,0.957,1.126,0.854,1.063,0.756,0.418,0.871,0.242,0.396,0,0.364,0.562,0.683,1.317
328,0.122,0.005,0,0.056,0.004,0.046,0.067,0.036,0.036,0.039,0.116,0.219,0.493,0.383,1.401,0.008,0.338,0.322,1.566,0.006,0.109,0.176,0.04,0,0.127,0.069,0.079,0,0.221,0.117,2.125,0.744,1.071,0.786,0.274,0,0.635,0.561,1.776,0
329,0.006,0.194,2.262,0.752,0.879,0.31,0.285,0.163,0.234,0.41,0.062,0,0.227,0.155,0.105,0.017,0.011,0.109,0.068,3.292,0.004,0.003,0.003,2.434,0.003,0.003,0.004,0,0.004,0.005,0.09,0.083,0.065,0.056,0.062,0.622,0.056,0.025,0.109,0.86
330,0,0,0,0,0,0,0,0,0,0.004,0.281,0,0.003,0.003,0.003,0.337,0.003,0.003,1.66,0,0.008,0.208,0.005,0,0.01,0.252,0.007,3.372,0.005,0.005,0.003,0.232,0.002,0.004,0.003,0.003,0.004,0.471,0.114,0.003
331,0.006,0.158,4.199,0.813,0.255,0.539,0.476,1.1,0.556,1.032,0.185,0,1.059,0.005,1.072,1.234,0.792,0.478,1.094,0,0.005,0.006,0.007,0,0.004,0.004,0.006,0.05,0.008,0.006,0.665,0.165,0.005,0.521,0.652,0.006,0.009,0.206,0.156,0.202
332,0.004,0.733,0,0.006,0.005,0.572,0.004,0.043,0.004,0.349,0.006,0,0.74,0.004,2.624,0.855,1.032,1.161,2.261,0,0.538,0.681,1.109,0,0.218,0.368,0.657,0.688,1.019,0.788,0.005,1.071,0.003,0.476,0.747,0.007,0.007,0.006,0.337,1.033
333,1.039,0.587,0.275,1.524,0.151,0.064,0.661,1.248,0.466,1.018,0.005,5.52,0.006,0.153,0.242,0.005,0.004,0.18,0.37,0.146,1.063,1.024,1.425,0,0.004,2.826,1.594,0,0.003,1.068,0.004,0.637,0.455,0.176,1.222,0.005,0.218,0.194,0.155,1.054
334,0.005,0.145,0.301,1.701,0.122,0.198,0.157,0,0.097,0.085,0.005,0,1.195,0.902,1.272,0.004,0.004,1.295,2.38,0.617,3.797,0.211,1.583,0.087,0.31,0.018,0.066,3.537,0.825,0.038,0.644,1.814,0,1.437,0.758,1.69,1.42,0.781,0.539,1.638
335,0.005,0.005,0.01,0,0,0.006,0,4.395,0.006,0.009,0.25,0.119,0.363,0.888,1.209,0.8,0.507,0.341,0.433,0.332,0.562,0.182,0.543,0.53,0,0.638,0.264,0,0,0.331,1.149,0.005,4.993,0.388,0.532,0.69,0.534,0.373,0.302,0.986
336,0.025,0.233,0.642,0,0.347,0.481,0.072,0.102,0.606,0.219,0.004,0.343,0.376,0.307,0.116,0.563,0,0.297,0.522,0.962,0,0.422,0.003,0.003,0,0.003,0.614,0,0,0.003,0.068,0.1,5.659,0.323,0.18,0.088,0.207,0.172,0.198,0.226
337,0.292,0.151,0.533,0.61,0.105,0.236,0.342,0.226,0.181,0.285,0.474,1.194,0.655,1.31,0.004,1.728,0,0.995,1.101,1.153,0.439,0.006,0.005,0.005,0,0.005,0.018,0.222,0,0.005,0.003,1.774,0,0.004,0.009,1.208,0.875,1.202,0.329,0.002
