op_rw,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
63,204326,197652,186618,119452,145479,184637,102693,254596,236988,332470,334605,260409,289034,126115,204769,179806,217143,149426,72806,200268,221935,373568,115846,279901,198011,220913,382153,298496,283044,144857,334425,274297,280499,118313,114566,92988,415998,209568
64,204327,197652,186618,119452,145481,184638,102694,254598,236992,332471,334607,260412,289036,126119,204770,179807,217143,149426,72806,200271,221935,373572,115846,279903,198014,220915,382155,298497,283046,144858,334425,274300,280500,118317,114568,92988,415999,209569
65,204328,197653,186618,119453,145483,184638,102695,254599,236993,332472,334607,260413,289037,126121,204770,179809,217144,149426,72807,200271,221936,373574,115848,279905,198016,220916,382155,298499,283047,144859,334426,274303,280500,118319,114573,92990,415999,209571
66,204328,197654,186618,119453,145484,184638,102695,254602,236997,332474,334609,260416,289039,126121,204772,179810,217145,149427,72807,200274,221938,373578,115850,279911,198017,220920,382160,298500,283047,144859,334427,274305,280503,118321,114574,92990,415999,209572
67,204329,197654,186620,119453,145486,184639,102696,254606,237002,332474,334611,260418,289041,126126,204773,179811,217148,149427,72809,200277,221938,373580,115851,279913,198020,220922,382161,298501,283049,144860,334427,274307,280504,118324,114577,92990,416000,209573
68,204330,197655,186620,119454,145487,184639,102697,254606,237003,332476,334612,260420,289043,126128,204773,179813,217149,149427,72809,200279,221939,373582,115852,279915,198022,220922,382162,298503,283050,144862,334428,274310,280504,118328,114582,92992,416000,209576
69,204330,197655,186621,119454,145489,184639,102697,254609,237006,332478,334614,260422,289044,126129,204775,179813,217151,149428,72809,200282,221941,373584,115854,279921,198022,220927,382167,298504,283050,144862,334429,274313,280506,118331,114584,92992,416000,209577
70,204331,197656,186622,119454,145491,184640,102698,254612,237011,332478,334616,260424,289045,126131,204776,179815,217153,149428,72810,200284,221941,373588,115856,279921,198026,220927,382168,298504,283051,144863,334429,274315,280507,118333,114588,92992,416000,209579
71,204332,197657,186622,119455,145493,184640,102699,254613,237013,332479,334617,260427,289048,126135,204776,179817,217154,149428,72811,200285,221942,373589,115857,279923,198028,220929,382169,298506,283053,144865,334430,274318,280508,118338,114592,92994,416001,209580
72,204332,197657,186622,119455,145494,184640,102699,254616,237016,332481,334619,260429,289048,126136,204778,179817,217155,149429,72811,200287,221943,373591,115859,279930,198028,220932,382172,298507,283053,144865,334430,274321,280509,118340,114594,92994,416001,209582
