op,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
60,697677,565324,643872,429255,456589,450396,463234,545975,788331,637717,673194,817860,603830,455963,735994,495467,474640,662626,403701,537491,499333,753442,708266,670650,522510,858039,530042,762530,820386,632107,437521,747927,799130,688429,895175,691676,285375,414270,1202825,601826
61,697916,565526,644076,429472,456825,450556,463412,546145,788512,637895,673415,818059,604083,456231,736242,495649,474856,662793,403884,537688,499514,753676,708478,670887,522683,858250,530307,762720,820562,632271,437725,748149,799288,688609,895411,691846,285549,414427,1203056,602031
62,698108,565706,644292,429692,457045,450794,463640,546310,788730,638169,673618,818236,604289,456439,736429,495919,475112,663000,404156,537919,499650,753889,708634,671110,522905,858472,530537,762837,820711,632523,437948,748308,799505,688825,895624,692016,285708,414601,1203312,602258
63,698328,565936,644504,429931,457232,451028,463829,546553,788971,638332,673808,818440,604537,456663,736659,496213,475341,663293,404352,538148,499792,753999,708821,671243,523103,858672,530706,763080,820903,632668,438169,748534,799708,689080,895831,692259,285920,414789,1203490,602470
64,698545,566122,644686,430106,457475,451237,464006,546758,789235,638491,673995,818706,604785,456836,736866,496460,475562,663416,404540,538344,499943,754254,709011,671482,523323,858931,530921,763275,821044,632863,438410,748765,799914,689285,896045,692444,286099,414930,1203709,602674
65,698735,566309,644891,430337,457615,451423,464170,546954,789411,638668,674175,818887,605029,457076,737048,496624,475770,663595,404791,538545,500096,754469,709195,671648,523570,859066,531080,763413,821271,633062,438599,748977,800111,689476,896216,692578,286274,415106,1203857,602870
66,698933,566519,645135,430529,457807,451553,464352,547131,789596,638901,674346,819095,605260,457281,737275,496876,475948,663740,404923,538804,500277,754709,709445,671958,523760,859269,531343,763638,821408,633307,438799,749160,800296,689632,896419,692772,286491,415299,1204081,603080
67,699188,566709,645372,430699,458012,451780,464485,547403,789860,639086,674546,819302,605507,457525,737455,497008,476155,663954,405286,538979,500412,754921,709622,672188,523981,859460,531526,763862,821603,633522,439015,749332,800494,689849,896648,692952,286654,415540,1204344,603267
68,699351,566939,645537,430913,458211,452060,464748,547490,790015,639289,674746,819535,605724,457743,737617,497291,476384,664099,405385,539212,500589,755144,709808,672392,524196,859673,531734,764022,821779,633769,439250,749531,800679,690128,896876,693143,286840,415711,1204526,603476
69,699551,567140,645747,431058,458497,452235,464904,547732,790262,639516,674902,819728,605941,457949,737895,497497,476690,664268,405577,539430,500734,755363,710008,672670,524379,859788,531972,764283,821933,633924,439501,749715,800912,690377,897008,693343,287021,415895,1204724,603763
70,699718,567318,645938,431278,458691,452469,465039,547922,790445,639652,675066,819914,606158,458151,738096,497695,476842,664454,405770,539688,500888,755595,710161,672828,524582,860065,532146,764440,822059,634141,439723,749952,801072,690597,897275,693549,287242,416042,1204870,603989
71,699888,567510,646082,431522,458878,452640,465226,548041,790620,639842,675262,820125,606375,458360,738314,497889,477027,664624,405933,539837,501042,755759,710403,673046,524797,860278,532398,764595,822283,634359,439909,750127,801309,690857,897427,693764,287493,416229,1205144,604148
